"ING_SEQ","ING_NM","VEGE_CLASS_SEQ","EMISSIONS"
"3400101","감말랭이","6","0.70"
"3400102","건대추","6","0.70"
"3400103","건무화과","6","0.70"
"3400104","곶감","6","0.70"
"3400105","그린올리브","6","0.70"
"3400106","냉동딸기","6","0.70"
"3400107","단감","6","0.70"
"3400108","대추","6","0.70"
"3400109","딸기","6","0.70"
"3400110","딸기잼","6","0.70"
"3400111","레몬 제스트","6","0.70"
"3400112","망고","6","0.70"
"3400113","매실고추장","6","0.70"
"3400114","매실액","6","0.70"
"3400115","매실엑기스","6","0.70"
"3400116","매실장아찌","6","0.70"
"3400117","매실청","6","0.70"
"3400118","모과원액","6","0.70"
"3400119","무화과","6","0.70"
"3400120","배","6","0.70"
"3400121","배즙","6","0.70"
"3400122","복숭아","6","0.70"
"3400123","블랙올리브","6","0.70"
"3400124","석류","6","0.70"
"3400125","석류원액","6","0.70"
"3400126","석류즙","6","0.70"
"3400127","수박","6","0.70"
"3400128","수박껍질","6","0.70"
"3400129","아보카도","6","0.70"
"3400130","올리브","6","0.70"
"3400131","유자액","6","0.70"
"3400132","유자청","6","0.70"
"3400133","자두","6","0.70"
"3400134","자몽","6","0.70"
"3400135","제철과일","6","0.70"
"3400136","참외","6","0.70"
"3400137","체리","6","0.70"
"3400138","치자","6","0.70"
"3400139","치자국수","6","0.70"
"3400140","코코넛밀크","6","0.70"
"3400141","코코넛가루","6","0.70"
"3400142","코코넛설탕","6","0.70"
"3400143","코코넛슬라이스","6","0.70"
"3400144","키위","6","0.70"
"3400145","키위소스","6","0.70"
"3400146","파인애플","6","0.70"
"3400147","파인애플주스","6","0.70"
"3400148","파인애플즙","6","0.70"
"3400149","푸룬","6","0.70"
"3400150","홍시","6","0.70"
"3400151","후르츠칵테일","6","0.70"
"3400152","샤인머스켓","6","0.70"
"3500101","가지","6","0.50"
"3500102","각종 새싹","6","0.50"
"3500103","건 바질","6","0.50"
"3500104","건고추","6","0.50"
"3500105","건곤드레","6","0.50"
"3500106","건바질","6","0.50"
"3500107","건오레가노","6","0.50"
"3500108","건타임","6","0.50"
"3500109","건홍고추","6","0.50"
"3500110","검은깨","6","0.50"
"3500111","검정깨","6","0.50"
"3500112","계피","6","0.50"
"3500113","계피가루","6","0.50"
"3500114","고사리","6","0.50"
"3500115","고수","6","0.50"
